5 7 

0 15 11 13 8 
5 10 6 8 3 
15 0 4 2 7 
4 11 7 9 4 
11 4 0 2 3 

22 6 19 27 9 
17 1 14 22 4 
7 9 4 12 6 
18 2 15 23 5 
11 5 8 16 2 

7 13 17 19 22 
2 8 12 14 17 
8 2 2 4 7 
3 9 13 15 18 
4 2 6 8 11 

0 14 14 24 11 
5 9 9 19 6 
15 1 1 9 4 
4 10 10 20 7 
11 3 3 13 0 

5 1 23 11 22 
10 4 18 6 17 
20 14 8 4 7 
9 3 19 7 18 
16 10 12 0 11 

24 7 15 29 20 
19 2 10 24 15 
9 8 0 14 5 
20 3 11 25 16 
13 4 4 18 9 

22 6 19 27 9 
7 9 4 12 6 
11 5 8 16 2 
9 7 6 14 4 
14 2 11 19 1 

7 13 17 19 22 
8 2 2 4 7 
4 2 6 8 11 
6 0 4 6 9 
1 5 9 11 14 

0 14 14 24 11 
15 1 1 9 4 
11 3 3 13 0 
13 1 1 11 2 
8 6 6 16 3 

5 1 23 11 22 
20 14 8 4 7 
16 10 12 0 11 
18 12 10 2 9 
13 7 15 3 14 

24 7 15 29 20 
9 8 0 14 5 
13 4 4 18 9 
11 6 2 16 7 
16 1 7 21 12 

15 9 5 3 0 
1 7 11 13 16 
12 6 2 0 3 
20 14 10 8 5 
2 4 8 10 13 

22 8 8 2 11 
6 8 8 18 5 
19 5 5 5 8 
27 13 13 3 16 
9 5 5 15 2 

27 21 1 11 0 
11 5 17 5 16 
24 18 4 8 3 
32 26 4 16 5 
14 8 14 2 13 

2 15 7 7 2 
18 1 9 23 14 
5 12 4 10 1 
3 20 12 2 7 
15 2 6 20 11 

7 7 7 17 4 
13 1 1 11 2 
17 3 3 7 6 
19 5 5 5 8 
22 8 8 2 11 

12 6 16 4 15 
18 12 10 2 9 
22 16 6 6 5 
24 18 4 8 3 
27 21 1 11 0 

17 0 8 22 13 
11 6 2 16 7 
7 10 2 12 3 
5 12 4 10 1 
2 15 7 7 2 

5 1 23 11 22 
19 13 9 3 8 
19 13 9 3 8 
29 23 1 13 2 
16 10 12 0 11 

24 7 15 29 20 
10 7 1 15 6 
10 7 1 15 6 
0 17 9 5 4 
13 4 4 18 9 

29 12 20 34 25 
23 6 14 28 19 
1 16 8 6 3 
13 4 4 18 9 
2 15 7 7 2 

