20 7 

7 5 25 37 47 47 78 76 5 37 11 3 50 4 42 0 62 4 46 77 
72 84 54 42 32 32 1 3 74 42 68 76 29 83 37 79 17 83 33 2 
20 32 2 10 20 20 51 49 22 10 16 24 23 31 15 27 35 31 19 50 
23 35 5 7 17 17 48 46 25 7 19 27 20 34 12 30 32 34 16 47 
6 18 12 24 34 34 65 63 8 24 2 10 37 17 29 13 49 17 33 64 
72 84 54 42 32 32 1 3 74 42 68 76 29 83 37 79 17 83 33 2 
42 54 24 12 2 2 29 27 44 12 38 46 1 53 7 49 13 53 3 28 
74 86 56 44 34 34 3 5 76 44 70 78 31 85 39 81 19 85 35 4 
67 79 49 37 27 27 4 2 69 37 63 71 24 78 32 74 12 78 28 3 
34 46 16 4 6 6 37 35 36 4 30 38 9 45 1 41 21 45 5 36 
39 51 21 9 1 1 32 30 41 9 35 43 4 50 4 46 16 50 0 31 
16 4 34 46 56 56 87 85 14 46 20 12 59 5 51 9 71 5 55 86 
7 5 25 37 47 47 78 76 5 37 11 3 50 4 42 0 62 4 46 77 
13 25 5 17 27 27 58 56 15 17 9 17 30 24 22 20 42 24 26 57 
15 3 33 45 55 55 86 84 13 45 19 11 58 4 50 8 70 4 54 85 
20 32 2 10 20 20 51 49 22 10 16 24 23 31 15 27 35 31 19 50 
15 3 33 45 55 55 86 84 13 45 19 11 58 4 50 8 70 4 54 85 
67 79 49 37 27 27 4 2 69 37 63 71 24 78 32 74 12 78 28 3 
62 74 44 32 22 22 9 7 64 32 58 66 19 73 27 69 7 73 23 8 
58 70 40 28 18 18 13 11 60 28 54 62 15 69 23 65 3 69 19 12 

28 36 67 56 23 73 5 5 27 10 4 6 12 4 63 63 22 68 16 51 
51 43 12 23 56 6 84 84 52 89 75 73 91 83 16 16 57 11 63 28 
1 9 40 29 4 46 32 32 0 37 23 21 39 31 36 36 5 41 11 24 
2 6 37 26 7 43 35 35 3 40 26 24 42 34 33 33 8 38 14 21 
15 23 54 43 10 60 18 18 14 23 9 7 25 17 50 50 9 55 3 38 
51 43 12 23 56 6 84 84 52 89 75 73 91 83 16 16 57 11 63 28 
21 13 18 7 26 24 54 54 22 59 45 43 61 53 14 14 27 19 33 2 
53 45 14 25 58 8 86 86 54 91 77 75 93 85 18 18 59 13 65 30 
46 38 7 18 51 1 79 79 47 84 70 68 86 78 11 11 52 6 58 23 
13 5 26 15 18 32 46 46 14 51 37 35 53 45 22 22 19 27 25 10 
18 10 21 10 23 27 51 51 19 56 42 40 58 50 17 17 24 22 30 5 
37 45 76 65 32 82 4 4 36 1 13 15 3 5 72 72 31 77 25 60 
28 36 67 56 23 73 5 5 27 10 4 6 12 4 63 63 22 68 16 51 
8 16 47 36 3 53 25 25 7 30 16 14 32 24 43 43 2 48 4 31 
36 44 75 64 31 81 3 3 35 2 12 14 4 4 71 71 30 76 24 59 
1 9 40 29 4 46 32 32 0 37 23 21 39 31 36 36 5 41 11 24 
36 44 75 64 31 81 3 3 35 2 12 14 4 4 71 71 30 76 24 59 
46 38 7 18 51 1 79 79 47 84 70 68 86 78 11 11 52 6 58 23 
41 33 2 13 46 4 74 74 42 79 65 63 81 73 6 6 47 1 53 18 
37 29 2 9 42 8 70 70 38 75 61 59 77 69 2 2 43 3 49 14 

72 4 14 65 1 42 6 35 8 55 54 3 58 37 72 5 35 47 25 81 
7 83 65 14 78 37 85 44 71 24 25 82 21 42 7 74 44 32 54 2 
45 31 13 38 26 15 33 8 19 28 27 30 31 10 45 22 8 20 2 54 
42 34 16 35 29 12 36 5 22 25 24 33 28 7 42 25 5 17 5 51 
59 17 1 52 12 29 19 22 5 42 41 16 45 24 59 8 22 34 12 68 
7 83 65 14 78 37 85 44 71 24 25 82 21 42 7 74 44 32 54 2 
23 53 35 16 48 7 55 14 41 6 5 52 9 12 23 44 14 2 24 32 
9 85 67 16 80 39 87 46 73 26 27 84 23 44 9 76 46 34 56 0 
2 78 60 9 73 32 80 39 66 19 20 77 16 37 2 69 39 27 49 7 
31 45 27 24 40 1 47 6 33 14 13 44 17 4 31 36 6 6 16 40 
26 50 32 19 45 4 52 11 38 9 8 49 12 9 26 41 11 1 21 35 
81 5 23 74 10 51 3 44 17 64 63 6 67 46 81 14 44 56 34 90 
72 4 14 65 1 42 6 35 8 55 54 3 58 37 72 5 35 47 25 81 
52 24 6 45 19 22 26 15 12 35 34 23 38 17 52 15 15 27 5 61 
80 4 22 73 9 50 2 43 16 63 62 5 66 45 80 13 43 55 33 89 
45 31 13 38 26 15 33 8 19 28 27 30 31 10 45 22 8 20 2 54 
80 4 22 73 9 50 2 43 16 63 62 5 66 45 80 13 43 55 33 89 
2 78 60 9 73 32 80 39 66 19 20 77 16 37 2 69 39 27 49 7 
