9 5 

63 37 0 67 54 33 40 58 53 
1 27 64 3 10 31 24 6 11 
78 52 15 82 69 48 55 73 68 
29 3 34 33 20 1 6 24 19 
13 13 50 17 4 17 10 8 3 
67 41 4 71 58 37 44 62 57 
28 2 35 32 19 2 5 23 18 
18 8 45 22 9 12 5 13 8 
75 49 12 79 66 45 52 70 65 

33 9 14 38 11 52 63 29 15 
31 55 78 26 75 12 1 93 49 
48 24 1 53 4 67 78 14 30 
1 25 48 4 45 18 29 63 19 
17 41 64 12 61 2 13 79 35 
37 13 10 42 7 56 67 25 19 
2 26 49 3 46 17 28 64 20 
12 36 59 7 56 7 18 74 30 
45 21 2 50 1 64 75 17 27 

50 40 29 15 27 17 42 65 43 
14 24 35 49 91 47 22 1 21 
65 55 44 30 12 32 57 80 58 
16 6 5 19 61 17 8 31 9 
0 10 21 35 77 33 8 15 7 
54 44 33 19 23 21 46 69 47 
15 5 6 20 62 18 7 30 8 
5 5 16 30 72 28 3 20 2 
62 52 41 27 15 29 54 77 55 

9 29 5 26 69 6 10 26 12 
73 35 59 38 5 70 54 38 76 
6 44 20 41 84 9 25 41 3 
43 5 29 8 35 40 24 8 46 
59 21 45 24 19 56 40 24 62 
5 33 9 30 73 2 14 30 8 
44 6 30 9 34 41 25 9 47 
54 16 40 19 24 51 35 19 57 
3 41 17 38 81 6 22 38 0 

30 54 77 25 74 11 0 92 48 
4 28 51 1 48 15 26 66 22 
33 9 14 38 11 52 63 29 15 
34 58 81 29 78 15 4 96 52 
21 45 68 16 65 2 9 83 39 
0 24 47 5 44 19 30 62 18 
7 31 54 2 51 12 23 69 25 
25 49 72 20 69 6 5 87 43 
20 44 67 15 64 1 10 82 38 

13 23 34 48 90 46 21 2 20 
13 3 8 22 64 20 5 28 6 
50 40 29 15 27 17 42 65 43 
17 27 38 52 94 50 25 2 24 
4 14 25 39 81 37 12 11 11 
17 7 4 18 60 16 9 32 10 
10 0 11 25 67 23 2 25 3 
8 18 29 43 85 41 16 7 15 
3 13 24 38 80 36 11 12 10 

72 34 58 37 6 69 53 37 75 
46 8 32 11 32 43 27 11 49 
9 29 5 26 69 6 10 26 12 
76 38 62 41 2 73 57 41 79 
63 25 49 28 15 60 44 28 66 
42 4 28 7 36 39 23 7 45 
49 11 35 14 29 46 30 14 52 
67 29 53 32 11 64 48 32 70 
62 24 48 27 16 59 43 27 65 

17 7 4 18 60 16 9 32 10 
41 31 20 6 36 8 33 56 34 
64 54 43 29 13 31 56 79 57 
12 2 9 23 65 21 4 27 5 
61 51 40 26 16 28 53 76 54 
2 12 23 37 79 35 10 13 9 
13 23 34 48 90 46 21 2 20 
79 69 58 44 2 46 71 94 72 
35 25 14 0 42 2 27 50 28 

42 4 28 7 36 39 23 7 45 
18 20 4 17 60 15 1 17 21 
5 43 19 40 83 8 24 40 2 
47 9 33 12 31 44 28 12 50 
2 40 16 37 80 5 21 37 1 
61 23 47 26 17 58 42 26 64 
72 34 58 37 6 69 53 37 75 
20 58 34 55 98 23 39 55 17 
24 14 10 11 54 21 5 11 27 

59 21 45 24 19 56 40 24 62 
49 11 35 14 29 46 30 14 52 
38 0 24 3 40 35 19 3 41 
24 14 10 11 54 21 5 11 27 
18 56 32 53 96 21 37 53 15 
26 12 12 9 52 23 7 9 29 
51 13 37 16 27 48 32 16 54 
74 36 60 39 4 71 55 39 77 
52 14 38 17 26 49 33 17 55 

