5 10 

66 49 73 78 63 
9 26 2 3 12 
9 26 2 3 12 
15 32 8 3 18 
30 13 37 42 27 

61 57 10 28 21 
14 18 65 47 54 
14 18 65 47 54 
20 24 71 53 60 
25 21 26 8 15 

93 12 74 22 13 
18 63 1 53 62 
18 63 1 53 62 
12 69 7 59 68 
57 24 38 14 23 

92 66 89 38 8 
17 9 14 37 67 
17 9 14 37 67 
11 15 8 43 73 
56 30 53 2 28 

92 52 22 62 38 
17 23 53 13 37 
17 23 53 13 37 
11 29 59 19 43 
56 16 14 26 2 

81 61 19 97 33 
6 14 56 22 42 
6 14 56 22 42 
0 20 62 16 48 
45 25 17 61 3 

30 53 3 61 69 
45 22 72 14 6 
45 22 72 14 6 
51 28 78 20 12 
6 17 33 25 33 

89 48 68 21 15 
14 27 7 54 60 
14 27 7 54 60 
8 33 13 60 66 
53 12 32 15 21 

31 74 55 13 89 
44 1 20 62 14 
44 1 20 62 14 
50 7 26 68 8 
5 38 19 23 53 

5 9 56 38 45 
12 8 39 21 28 
12 16 63 45 52 
17 21 68 50 57 
2 6 53 35 42 

27 54 8 44 53 
44 37 25 27 36 
20 61 1 51 60 
15 66 4 56 65 
30 51 11 41 50 

26 0 23 28 58 
43 17 40 11 41 
19 7 16 35 65 
14 12 11 40 70 
29 3 26 25 55 

26 14 44 4 28 
43 3 27 13 11 
19 21 51 11 35 
14 26 56 16 40 
29 11 41 1 25 

15 5 47 31 33 
32 12 30 48 16 
8 12 54 24 40 
3 17 59 19 45 
18 2 44 34 30 

36 13 63 5 3 
19 4 46 12 20 
43 20 70 12 4 
48 25 75 17 9 
33 10 60 2 6 

23 18 2 45 51 
40 1 19 28 34 
16 25 5 52 58 
11 30 10 57 63 
26 15 5 42 48 

35 8 11 53 23 
18 25 6 36 40 
42 1 18 60 16 
47 4 23 65 11 
32 11 8 50 26 

32 49 13 39 48 
36 45 17 35 44 
83 2 64 12 3 
65 16 46 6 15 
72 9 53 1 8 

31 5 28 23 53 
35 9 32 19 49 
82 56 79 28 2 
64 38 61 10 20 
71 45 68 17 13 

31 9 39 1 23 
35 5 35 5 19 
82 42 12 52 28 
64 24 6 34 10 
71 31 1 41 17 

20 0 42 36 28 
24 4 38 40 24 
71 51 9 87 23 
53 33 9 69 5 
60 40 2 76 12 

31 8 58 0 8 
27 4 54 4 12 
20 43 7 51 59 
2 25 25 33 41 
9 32 18 40 48 

28 13 7 40 46 
32 9 11 36 42 
79 38 58 11 5 
61 20 40 7 13 
68 27 47 0 6 

30 13 6 48 28 
26 17 2 44 32 
21 64 45 3 79 
3 46 27 15 61 
10 53 34 8 68 

1 27 4 55 85 
80 54 77 26 4 
18 8 15 36 66 
70 44 67 16 14 
79 53 76 25 5 

1 41 71 31 55 
80 40 10 50 26 
18 22 52 12 36 
70 30 0 40 16 
79 39 9 49 25 

12 32 74 4 60 
69 49 7 85 21 
7 13 55 23 41 
59 39 3 75 11 
68 48 6 84 20 

63 40 90 32 24 
18 41 9 49 57 
44 21 71 13 5 
8 31 19 39 47 
17 40 10 48 56 

4 45 25 72 78 
77 36 56 9 3 
15 26 6 53 59 
67 26 46 1 7 
76 35 55 8 2 

62 19 38 80 4 
19 62 43 1 77 
43 0 19 61 15 
9 52 33 9 67 
18 61 42 0 76 

0 40 70 30 54 
26 14 44 4 28 
3 37 67 27 51 
54 14 16 24 0 
84 44 14 54 30 

11 31 73 5 59 
15 5 47 31 33 
8 28 70 8 56 
43 23 19 59 5 
73 53 11 89 25 

62 39 89 31 23 
36 13 63 5 3 
59 36 86 28 20 
8 15 35 23 31 
22 45 5 53 61 

3 44 24 71 77 
23 18 2 45 51 
0 41 21 68 74 
51 10 30 17 23 
81 40 60 13 7 

61 18 37 79 3 
35 8 11 53 23 
58 15 34 76 0 
7 36 17 25 51 
23 66 47 5 81 

11 31 73 5 59 
29 9 33 45 19 
59 39 3 75 11 
19 1 43 35 29 
43 23 19 59 5 

62 39 89 31 23 
22 1 49 9 17 
8 31 19 39 47 
32 9 59 1 7 
8 15 35 23 31 

3 44 24 71 77 
37 4 16 31 37 
67 26 46 1 7 
27 14 6 41 47 
51 10 30 17 23 

61 18 37 79 3 
21 22 3 39 37 
9 52 33 9 67 
31 12 7 49 27 
7 36 17 25 51 

51 28 78 20 12 
31 8 58 0 8 
11 34 16 42 50 
67 44 94 36 28 
3 20 30 28 36 

8 33 13 60 66 
28 13 7 40 46 
70 29 49 2 4 
8 49 29 76 82 
56 15 35 12 18 

50 7 26 68 8 
30 13 6 48 28 
12 55 36 6 70 
66 23 42 84 8 
2 41 22 20 56 

59 18 38 9 15 
36 5 15 32 38 
86 45 65 18 12 
28 13 7 40 46 
20 21 1 48 54 

1 44 25 17 59 
22 21 2 40 36 
28 71 52 10 86 
30 13 6 48 28 
38 5 14 56 20 

58 15 34 76 0 
17 26 7 35 41 
37 6 13 55 21 
10 53 34 8 68 
16 59 40 2 74 

