6 4 

29 22 14 10 15 9 
54 47 11 15 10 16 
51 44 8 12 7 13 
22 15 21 17 22 16 
12 5 31 27 32 26 
29 36 72 68 73 67 

12 22 22 9 15 65 
13 3 3 16 40 90 
10 0 0 13 37 87 
19 29 29 16 8 58 
29 39 39 26 2 48 
70 80 80 67 43 7 

17 22 22 23 54 1 
8 47 3 48 79 26 
5 44 0 45 76 23 
24 15 29 16 47 6 
34 5 39 6 37 16 
75 36 80 35 4 57 

41 51 51 38 14 36 
34 44 44 31 7 43 
2 8 8 5 29 79 
2 12 12 1 25 75 
3 7 7 6 30 80 
3 13 13 0 24 74 

46 7 51 6 25 28 
39 0 44 1 32 21 
3 36 8 37 68 15 
7 32 12 33 64 11 
2 37 7 38 69 16 
8 31 13 32 63 10 

5 34 10 35 66 13 
5 44 0 45 76 23 
5 44 0 45 76 23 
8 31 13 32 63 10 
32 7 37 8 39 14 
82 43 87 42 11 64 

