19 10 

1 38 89 97 28 31 21 42 20 46 
84 19 47 96 5 79 10 12 88 31 
55 32 55 26 68 40 92 49 33 58 
35 84 57 94 92 73 70 27 8 64 
3 25 1 54 99 26 55 58 96 5 
88 33 61 2 8 91 88 74 59 97 
58 3 20 70 6 72 7 84 71 11 
77 44 39 97 81 41 73 42 30 84 
21 6 13 50 71 67 24 83 98 33 
11 80 33 93 52 9 78 72 50 30 
61 96 62 46 6 28 47 45 15 47 
6 31 74 46 81 85 38 58 35 21 
95 3 15 75 92 16 87 96 42 24 
45 24 94 16 58 38 8 29 46 86 
67 66 25 50 22 2 65 34 22 54 
9 78 91 76 55 30 10 57 71 91 
31 54 16 30 51 63 68 12 78 84 
99 22 45 37 86 49 98 21 39 27 
73 60 99 84 45 31 7 30 62 55 
