13 13 

34 28 51 6 9 55 68 7 31 6 39 30 35 
26 20 43 2 1 47 60 15 23 14 31 22 27 
19 25 2 47 44 2 15 60 22 59 14 23 18 
37 43 20 65 62 16 3 78 40 77 32 41 36 
50 44 67 22 25 71 84 9 47 10 55 46 51 
30 36 13 58 55 9 4 71 33 70 25 34 29 
28 34 11 56 53 7 6 69 31 68 23 32 27 
40 46 23 68 65 19 6 81 43 80 35 44 39 
14 20 3 42 39 7 20 55 17 54 9 18 13 
11 17 6 39 36 10 23 52 14 51 6 15 10 
52 46 69 24 27 73 86 11 49 12 57 48 53 
5 1 22 23 20 26 39 36 2 35 10 1 6 
46 40 63 18 21 67 80 5 43 6 51 42 47 

27 53 49 0 2 40 21 54 30 8 23 40 36 
19 45 41 8 10 32 29 46 22 16 15 32 28 
26 0 4 53 55 13 74 1 23 61 30 13 17 
44 18 22 71 73 31 92 17 41 79 48 31 35 
43 69 65 16 14 56 5 70 46 8 39 56 52 
37 11 15 64 66 24 85 10 34 72 41 24 28 
35 9 13 62 64 22 83 8 32 70 39 22 26 
47 21 25 74 76 34 95 20 44 82 51 34 38 
21 5 1 48 50 8 69 6 18 56 25 8 12 
18 8 4 45 47 5 66 9 15 53 22 5 9 
45 71 67 18 16 58 3 72 48 10 41 58 54 
2 24 20 29 31 11 50 25 1 37 6 11 7 
39 65 61 12 10 52 9 66 42 4 35 52 48 

46 13 48 11 15 10 30 70 21 39 23 41 25 
38 21 40 19 23 2 22 62 29 31 15 33 17 
7 66 5 64 68 43 23 17 74 14 30 12 28 
25 84 23 82 86 61 41 1 92 32 48 30 46 
62 3 64 5 1 26 46 86 5 55 39 57 41 
18 77 16 75 79 54 34 6 85 25 41 23 39 
16 75 14 73 77 52 32 8 83 23 39 21 37 
28 87 26 85 89 64 44 4 95 35 51 33 49 
2 61 0 59 63 38 18 22 69 9 25 7 23 
1 58 3 56 60 35 15 25 66 6 22 4 20 
64 5 66 7 3 28 48 88 3 57 41 59 43 
17 42 19 40 44 19 1 41 50 10 6 12 4 
58 1 60 1 3 22 42 82 9 51 35 53 37 

69 65 39 16 13 68 69 28 48 31 24 68 68 
61 57 31 8 21 60 61 20 40 23 32 60 60 
16 12 14 37 66 15 16 25 5 22 77 15 15 
2 6 32 55 84 3 2 43 23 40 95 3 3 
