4 10 

35 19 71 30 
18 2 54 13 
28 12 64 23 
56 72 20 61 

72 33 33 7 
55 16 16 24 
65 26 26 14 
19 58 58 98 

5 79 81 46 
12 62 64 29 
2 72 74 39 
86 12 10 45 

88 5 87 0 
71 22 70 17 
81 12 80 7 
3 96 4 91 

35 40 28 45 
18 23 11 28 
28 33 21 38 
56 51 63 46 

10 73 5 70 
7 56 12 53 
3 66 2 63 
81 18 86 21 

37 63 27 82 
20 46 10 65 
30 56 20 75 
54 28 64 9 

64 14 26 6 
47 3 9 23 
57 7 19 13 
27 77 65 97 

42 66 44 46 
25 49 27 29 
35 59 37 39 
49 25 47 45 

37 2 2 42 
53 14 14 26 
1 38 38 78 
42 3 3 37 

30 44 46 11 
14 60 62 27 
66 8 10 25 
25 49 51 16 

53 40 52 35 
69 24 68 19 
17 76 16 71 
58 35 57 30 

0 5 7 10 
16 21 9 26 
36 31 43 26 
5 10 2 15 

25 38 30 35 
9 54 14 51 
61 2 66 1 
20 43 25 40 

2 28 8 47 
18 44 8 63 
34 8 44 11 
7 33 3 52 

29 21 9 41 
45 5 7 25 
7 57 45 77 
34 16 4 36 

7 31 9 11 
23 47 25 27 
29 5 27 25 
12 36 14 16 

67 7 9 26 
28 46 48 13 
28 46 48 13 
12 86 88 53 

16 77 15 72 
55 38 54 33 
55 38 54 33 
95 2 94 7 

37 32 44 27 
2 7 5 12 
2 7 5 12 
42 47 35 52 

62 1 67 2 
23 40 28 37 
23 40 28 37 
17 80 12 77 

35 9 45 10 
4 30 6 49 
4 30 6 49 
44 70 34 89 

8 58 46 78 
31 19 7 39 
31 19 7 39 
71 21 33 1 

30 6 28 26 
9 33 11 13 
9 33 11 13 
49 73 51 53 

83 10 82 5 
9 84 8 79 
7 86 6 81 
42 51 41 46 

30 35 23 40 
44 39 51 34 
46 41 53 36 
11 6 18 1 

5 68 0 65 
69 6 74 9 
71 8 76 11 
36 27 41 24 

32 58 22 77 
42 16 52 3 
44 18 54 1 
9 17 19 36 

59 9 21 11 
15 65 53 85 
17 67 55 87 
18 32 20 52 

37 61 39 41 
37 13 35 33 
39 15 37 35 
4 20 2 0 

53 48 60 43 
40 45 33 50 
52 47 59 42 
35 40 28 45 

78 15 83 18 
15 78 10 75 
77 14 82 17 
10 73 5 70 

51 25 61 6 
42 68 32 87 
50 24 60 5 
37 63 27 82 

24 74 62 94 
69 19 31 1 
23 73 61 93 
64 14 26 6 

46 22 44 42 
47 71 49 51 
45 21 43 41 
42 66 44 46 

25 38 30 35 
30 33 35 30 
18 45 23 42 
35 28 40 25 

2 28 8 47 
3 23 13 42 
9 35 1 54 
8 18 18 37 

29 21 9 41 
24 26 14 46 
36 14 2 34 
19 31 19 51 

7 31 9 11 
2 26 4 6 
14 38 16 18 
3 21 1 1 

27 53 17 72 
36 10 46 9 
32 58 22 77 
33 7 43 12 

54 4 16 16 
9 59 47 79 
59 9 21 11 
6 56 44 76 

32 56 34 36 
31 7 29 27 
37 61 39 41 
28 4 26 24 

27 23 11 43 
1 49 37 69 
37 13 1 33 
18 68 56 88 

5 29 7 9 
21 3 19 17 
15 39 17 19 
40 16 38 36 

22 2 20 18 
28 52 30 32 
16 40 18 20 
48 72 50 52 

