18 3 

13 13 41 20 51 20 8 37 18 20 46 28 18 43 45 49 34 32 
58 58 4 65 96 25 53 8 63 25 91 73 63 2 90 94 11 77 
2 2 56 5 36 35 7 52 3 35 31 13 3 58 30 34 49 17 
44 44 10 51 82 11 39 6 49 11 77 59 49 12 76 80 3 63 
26 26 28 33 64 7 21 24 31 7 59 41 31 30 58 62 21 45 
15 15 39 22 53 18 10 35 20 18 48 30 20 41 47 51 32 34 
57 57 3 64 95 24 52 7 62 24 90 72 62 1 89 93 10 76 
19 19 73 12 19 52 24 69 14 52 14 4 14 75 13 17 66 0 
32 32 22 39 70 1 27 18 37 1 65 47 37 24 64 68 15 51 
37 37 91 30 1 70 42 87 32 70 4 22 32 93 5 1 84 18 
22 22 76 15 16 55 27 72 17 55 11 7 17 78 10 14 69 3 
32 32 86 25 6 65 37 82 27 65 1 17 27 88 0 4 79 13 
31 31 85 24 7 64 36 81 26 64 2 16 26 87 1 5 78 12 
24 24 30 31 62 9 19 26 29 9 57 39 29 32 56 60 23 43 
35 35 89 28 3 68 40 85 30 68 2 20 30 91 3 1 82 16 
25 25 79 18 13 58 30 75 20 58 8 10 20 81 7 11 72 6 
46 46 8 53 84 13 41 4 51 13 79 61 51 10 78 82 1 65 
57 57 3 64 95 24 52 7 62 24 90 72 62 1 89 93 10 76 

39 2 5 7 3 40 36 33 7 47 35 14 24 31 3 17 46 45 
6 47 40 52 42 85 9 78 38 92 80 31 21 76 48 28 91 0 
54 13 20 8 18 25 51 18 22 32 20 29 39 16 12 32 31 60 
8 33 26 38 28 71 5 64 24 78 66 17 7 62 34 14 77 14 
26 15 8 20 10 53 23 46 6 60 48 1 11 44 16 4 59 32 
37 4 3 9 1 42 34 35 5 49 37 12 22 33 5 15 48 43 
5 46 39 51 41 84 8 77 37 91 79 30 20 75 47 27 90 1 
71 30 37 25 35 8 68 1 39 15 3 46 56 1 29 49 14 77 
20 21 14 26 16 59 17 52 12 66 54 5 5 50 22 2 65 26 
89 48 55 43 53 10 86 17 57 3 15 64 74 19 47 67 4 95 
74 33 40 28 38 5 71 2 42 12 0 49 59 4 32 52 11 80 
84 43 50 38 48 5 81 12 52 2 10 59 69 14 42 62 1 90 
83 42 49 37 47 4 80 11 51 3 9 58 68 13 41 61 2 89 
28 13 6 18 8 51 25 44 4 58 46 3 13 42 14 6 57 34 
87 46 53 41 51 8 84 15 55 1 13 62 72 17 45 65 2 93 
77 36 43 31 41 2 74 5 45 9 3 52 62 7 35 55 8 83 
6 35 28 40 30 73 3 66 26 80 68 19 9 64 36 16 79 12 
5 46 39 51 41 84 8 77 37 91 79 30 20 75 47 27 90 1 

52 11 18 6 16 27 49 20 20 34 22 27 37 18 10 30 33 58 
52 11 18 6 16 27 49 20 20 34 22 27 37 18 10 30 33 58 
2 43 36 48 38 81 5 74 34 88 76 27 17 72 44 24 87 4 
59 18 25 13 23 20 56 13 27 27 15 34 44 11 17 37 26 65 
90 49 56 44 54 11 87 18 58 4 16 65 75 20 48 68 5 96 
19 22 15 27 17 60 16 53 13 67 55 6 4 51 23 3 66 25 
47 6 13 1 11 32 44 25 15 39 27 22 32 23 5 25 38 53 
2 39 32 44 34 77 1 70 30 84 72 23 13 68 40 20 83 8 
57 16 23 11 21 22 54 15 25 29 17 32 42 13 15 35 28 63 
19 22 15 27 17 60 16 53 13 67 55 6 4 51 23 3 66 25 
85 44 51 39 49 6 82 13 53 1 11 60 70 15 43 63 0 91 
67 26 33 21 31 12 64 5 35 19 7 42 52 3 25 45 18 73 
57 16 23 11 21 22 54 15 25 29 17 32 42 13 15 35 28 63 
4 45 38 50 40 83 7 76 36 90 78 29 19 74 46 26 89 2 
84 43 50 38 48 5 81 12 52 2 10 59 69 14 42 62 1 90 
88 47 54 42 52 9 85 16 56 2 14 63 73 18 46 66 3 94 
5 36 29 41 31 74 2 67 27 81 69 20 10 65 37 17 80 11 
71 30 37 25 35 8 68 1 39 15 3 46 56 1 29 49 14 77 

