3 9 

57 29 5 
60 32 2 
30 2 32 

28 8 21 
31 11 24 
1 19 6 

10 10 3 
7 7 0 
37 37 30 

3 34 23 
0 37 26 
30 7 4 

3 33 56 
0 36 59 
30 6 29 

38 22 22 
41 25 19 
11 5 49 

2 52 55 
1 55 58 
29 25 28 

2 33 53 
1 36 56 
29 6 26 

29 49 36 
1 21 8 
33 13 26 

67 67 60 
39 39 32 
5 5 2 

60 23 34 
32 5 6 
2 39 28 

60 24 1 
32 4 27 
2 38 61 

19 35 79 
9 7 51 
43 27 17 

59 5 2 
31 23 26 
3 57 60 

59 24 4 
31 4 24 
3 38 58 

38 38 31 
18 18 11 
31 31 24 

31 6 5 
11 26 15 
24 13 2 

31 5 28 
11 25 48 
24 12 35 

10 6 50 
30 14 30 
17 1 43 

30 24 27 
10 44 47 
23 31 34 

30 5 25 
10 25 45 
23 12 32 

7 44 33 
7 44 33 
0 37 26 

7 43 66 
7 43 66 
0 36 59 

48 32 12 
48 32 12 
41 25 19 

8 62 65 
8 62 65 
1 55 58 

8 43 63 
8 43 63 
1 36 56 

0 36 59 
37 1 22 
26 10 33 

41 25 19 
4 12 56 
15 1 45 

1 55 58 
36 18 21 
25 29 32 

1 36 56 
36 1 19 
25 10 30 

41 25 19 
5 11 55 
18 34 78 

1 55 58 
35 19 22 
58 4 1 

1 36 56 
35 0 20 
58 23 3 

40 14 17 
24 30 33 
20 74 77 

40 5 15 
24 11 31 
20 55 75 

0 35 55 
54 19 1 
57 22 2 

