19 13 

80 58 26 6 80 49 21 14 38 7 17 74 54 69 19 40 3 22 35 
40 18 14 34 40 9 19 26 2 33 23 34 14 29 59 0 37 18 5 
88 66 34 14 88 57 29 22 46 15 25 82 62 77 11 48 11 30 43 
30 8 24 44 30 1 29 36 12 43 33 24 4 19 69 10 47 28 15 
66 44 12 8 66 35 7 0 24 7 3 60 40 55 33 26 11 8 21 
81 59 27 7 81 50 22 15 39 8 18 75 55 70 18 41 4 23 36 
14 8 40 60 14 17 45 52 28 59 49 8 12 3 85 26 63 44 31 
93 71 39 19 93 62 34 27 51 20 30 87 67 82 6 53 16 35 48 
5 17 49 69 5 26 54 61 37 68 58 1 21 6 94 35 72 53 40 
52 30 2 22 52 21 7 14 10 21 11 46 26 41 47 12 25 6 7 
17 5 37 57 17 14 42 49 25 56 46 11 9 6 82 23 60 41 28 
63 41 9 11 63 32 4 3 21 10 0 57 37 52 36 23 14 5 18 
95 73 41 21 95 64 36 29 53 22 32 89 69 84 4 55 18 37 50 
45 23 9 29 45 14 14 21 3 28 18 39 19 34 54 5 32 13 0 
41 19 13 33 41 10 18 25 1 32 22 35 15 30 58 1 36 17 4 
8 14 46 66 8 23 51 58 34 65 55 2 18 3 91 32 69 50 37 
17 5 37 57 17 14 42 49 25 56 46 11 9 6 82 23 60 41 28 
15 7 39 59 15 16 44 51 27 58 48 9 11 4 84 25 62 43 30 
25 3 29 49 25 6 34 41 17 48 38 19 1 14 74 15 52 33 20 

13 78 65 32 30 4 12 9 45 15 51 79 38 55 51 64 35 74 72 
53 38 25 8 10 44 28 31 5 55 11 39 2 15 11 24 5 34 32 
5 86 73 40 38 4 20 17 53 7 59 87 46 63 59 72 43 82 80 
63 28 15 18 20 54 38 41 5 65 1 29 12 5 1 14 15 24 22 
27 64 51 18 16 18 2 5 31 29 37 65 24 41 37 50 21 60 58 
12 79 66 33 31 3 13 10 46 14 52 80 39 56 52 65 36 75 73 
79 12 1 34 36 70 54 57 21 81 15 13 28 11 15 2 31 8 6 
0 91 78 45 43 9 25 22 58 2 64 92 51 68 64 77 48 87 85 
88 3 10 43 45 79 63 66 30 90 24 4 37 20 24 11 40 1 3 
41 50 37 4 2 32 16 19 17 43 23 51 10 27 23 36 7 46 44 
76 15 2 31 33 67 51 54 18 78 12 16 25 8 12 1 28 11 9 
30 61 48 15 13 21 5 8 28 32 34 62 21 38 34 47 18 57 55 
2 93 80 47 45 11 27 24 60 0 66 94 53 70 66 79 50 89 87 
48 43 30 3 5 39 23 26 10 50 16 44 3 20 16 29 0 39 37 
52 39 26 7 9 43 27 30 6 54 12 40 1 16 12 25 4 35 33 
85 6 7 40 42 76 60 63 27 87 21 7 34 17 21 8 37 2 0 
76 15 2 31 33 67 51 54 18 78 12 16 25 8 12 1 28 11 9 
78 13 0 33 35 69 53 56 20 80 14 14 27 10 14 1 30 9 7 
68 23 10 23 25 59 43 46 10 70 4 24 17 0 4 9 20 19 17 

15 36 30 52 67 15 16 15 14 6 3 47 40 67 56 53 6 27 67 
55 4 10 12 27 55 56 55 54 46 37 7 0 27 16 13 34 13 27 
7 44 38 60 75 7 8 7 6 2 11 55 48 75 64 61 14 35 75 
65 14 20 2 17 65 66 65 64 56 47 3 10 17 6 3 44 23 17 
29 22 16 38 53 29 30 29 28 20 11 33 26 53 42 39 8 13 53 
14 37 31 53 68 14 15 14 13 5 4 48 41 68 57 54 7 28 68 
