11 20 

22 4 5 44 1 48 15 70 39 18 55 
51 77 78 29 74 25 58 3 34 55 18 
12 14 15 34 11 38 5 60 29 8 45 
40 66 67 18 63 14 47 8 23 44 7 
7 19 20 29 16 33 0 55 24 3 40 
20 6 7 42 3 46 13 68 37 16 53 
39 65 66 17 62 13 46 9 22 43 6 
61 87 88 39 84 35 68 13 44 65 28 
10 36 37 12 33 16 17 38 7 14 23 
21 5 6 43 2 47 14 69 38 17 54 
37 11 10 59 14 63 30 85 54 33 70 

10 49 8 14 4 6 55 43 16 82 32 
83 24 65 87 77 67 18 30 89 9 41 
20 39 2 24 14 4 45 33 26 72 22 
72 13 54 76 66 56 7 19 78 20 30 
25 34 7 29 19 9 40 28 31 67 17 
12 47 6 16 6 4 53 41 18 80 30 
71 12 53 75 65 55 6 18 77 21 29 
93 34 75 97 87 77 28 40 99 1 51 
42 17 24 46 36 26 23 11 48 50 0 
11 48 7 15 5 5 54 42 17 81 31 
5 64 23 1 11 21 70 58 1 97 47 

43 18 13 0 35 44 0 71 28 64 48 
30 55 60 73 38 29 73 2 45 9 25 
33 8 3 10 25 34 10 61 18 54 38 
19 44 49 62 27 18 62 9 34 2 14 
28 3 2 15 20 29 15 56 13 49 33 
41 16 11 2 33 42 2 69 26 62 46 
18 43 48 61 26 17 61 10 33 3 13 
40 65 70 83 48 39 83 12 55 19 35 
11 14 19 32 3 12 32 39 4 32 16 
42 17 12 1 34 43 1 70 27 63 47 
58 33 28 15 50 59 15 86 43 79 63 

16 2 71 3 26 56 65 15 62 1 14 
57 71 2 76 47 17 8 58 11 72 87 
6 8 61 13 16 46 55 5 52 9 24 
46 60 9 65 36 6 3 47 0 61 76 
1 13 56 18 11 41 50 0 47 14 29 
14 0 69 5 24 54 63 13 60 1 16 
45 59 10 64 35 5 4 46 1 60 75 
67 81 12 86 57 27 18 68 21 82 97 
16 30 39 35 6 24 33 17 30 31 46 
15 1 70 4 25 55 64 14 61 0 15 
31 17 86 12 41 71 80 30 77 16 1 

27 61 9 18 3 22 37 47 75 19 11 
46 12 64 55 70 51 36 26 2 54 62 
17 51 1 8 7 12 27 37 65 9 1 
35 1 53 44 59 40 25 15 13 43 51 
12 46 6 3 12 7 22 32 60 4 4 
25 59 7 16 1 20 35 45 73 17 9 
34 0 52 43 58 39 24 14 14 42 50 
56 22 74 65 80 61 46 36 8 64 72 
5 29 23 14 29 10 5 15 43 13 21 
26 60 8 17 2 21 36 46 74 18 10 
42 76 24 33 18 37 52 62 90 34 26 

8 25 31 1 59 15 59 2 49 54 24 
81 48 42 72 14 58 14 71 24 19 49 
18 15 21 9 49 5 49 8 39 44 14 
70 37 31 61 3 47 3 60 13 8 38 
23 10 16 14 44 0 44 13 34 39 9 
10 23 29 1 57 13 57 0 47 52 22 
69 36 30 60 2 46 2 59 12 7 37 
91 58 52 82 24 68 24 81 34 29 59 
40 7 1 31 27 17 27 30 17 22 8 
9 24 30 0 58 14 58 1 48 53 23 
7 40 46 16 74 30 74 17 64 69 39 

5 50 9 9 68 19 47 1 1 61 63 
78 23 82 82 5 54 26 72 74 12 10 
15 40 19 19 58 9 37 9 11 51 53 
67 12 71 71 6 43 15 61 63 1 1 
20 35 24 24 53 4 32 14 16 46 48 
7 48 11 11 66 17 45 1 3 59 61 
66 11 70 70 7 42 14 60 62 0 2 
88 33 92 92 15 64 36 82 84 22 20 
37 18 41 41 36 13 15 31 33 29 31 
6 49 10 10 67 18 46 0 2 60 62 
10 65 6 6 83 34 62 16 14 76 78 

16 83 23 83 52 42 44 50 14 63 68 
57 10 50 10 21 31 29 23 59 10 5 
6 73 13 73 42 32 34 40 4 53 58 
46 21 39 21 10 20 18 12 48 1 6 
1 68 8 68 37 27 29 35 1 48 53 
14 81 21 81 50 40 42 48 12 61 66 
45 22 38 22 9 19 17 11 47 2 7 
67 0 60 0 31 41 39 33 69 20 15 
16 51 9 51 20 10 12 18 18 31 36 
15 82 22 82 51 41 43 49 13 62 67 
