8 8 

12 16 72 44 35 7 34 3 
3 7 63 35 26 16 25 6 
6 10 66 38 29 13 28 3 
22 26 82 54 45 3 44 13 
5 9 65 37 28 14 27 4 
47 43 13 15 24 66 25 56 
50 46 10 18 27 69 28 59 
6 10 66 38 29 13 28 3 

28 57 66 17 21 61 12 14 
19 48 57 26 12 52 3 5 
22 51 60 23 15 55 6 8 
38 67 76 7 31 71 22 24 
21 50 59 24 14 54 5 7 
31 2 7 76 38 2 47 45 
34 5 4 79 41 1 50 48 
22 51 60 23 15 55 6 8 

28 38 3 72 25 63 68 16 
19 29 6 63 16 54 59 25 
22 32 3 66 19 57 62 22 
38 48 13 82 35 73 78 6 
21 31 4 65 18 56 61 23 
31 21 56 13 34 4 9 75 
34 24 59 10 37 1 6 78 
22 32 3 66 19 57 62 22 

7 11 11 13 63 73 44 76 
16 2 2 4 54 64 35 67 
13 5 5 7 57 67 38 70 
3 21 21 23 73 83 54 86 
14 4 4 6 56 66 37 69 
66 48 48 46 4 14 15 17 
69 51 51 49 1 11 18 14 
13 5 5 7 57 67 38 70 

24 23 33 66 48 58 29 52 
15 14 24 57 39 49 20 43 
18 17 27 60 42 52 23 46 
34 33 43 76 58 68 39 62 
17 16 26 59 41 51 22 45 
35 36 26 7 11 1 30 7 
38 39 29 4 14 4 33 10 
18 17 27 60 42 52 23 46 

14 51 10 3 37 68 40 52 
23 42 1 12 28 59 31 43 
20 45 4 9 31 62 34 46 
4 61 20 7 47 78 50 62 
21 44 3 10 30 61 33 45 
73 8 49 62 22 9 19 7 
76 11 52 65 25 6 22 10 
20 45 4 9 31 62 34 46 

50 17 80 77 77 19 77 54 
41 26 71 68 68 10 68 45 
44 23 74 71 71 13 71 48 
60 7 90 87 87 29 87 64 
43 24 73 70 70 12 70 47 
9 76 21 18 18 40 18 5 
12 79 18 15 15 43 15 8 
44 23 74 71 71 13 71 48 

16 45 54 29 9 49 0 2 
12 41 50 33 5 45 4 2 
44 15 6 89 51 11 60 58 
16 13 22 61 23 17 32 30 
7 22 31 52 14 26 23 21 
35 64 73 10 28 68 19 21 
6 23 32 51 13 27 22 20 
25 54 63 20 18 58 9 11 

16 26 9 60 13 51 56 28 
12 22 13 56 9 47 52 32 
44 34 69 0 47 9 4 88 
16 6 41 28 19 19 24 60 
7 3 32 37 10 28 33 51 
35 45 10 79 32 70 75 9 
6 4 31 38 9 29 34 50 
25 35 0 69 22 60 65 19 

19 1 1 1 51 61 32 64 
23 5 5 3 47 57 28 60 
79 61 61 59 9 1 28 4 
51 33 33 31 19 29 0 32 
42 24 24 22 28 38 9 41 
0 18 18 20 70 80 51 83 
41 23 23 21 29 39 10 42 
10 8 8 10 60 70 41 73 

12 11 21 54 36 46 17 40 
8 7 17 50 32 42 13 36 
48 49 39 6 24 14 43 20 
20 21 11 22 4 14 15 8 
11 12 2 31 13 23 6 17 
31 30 40 73 55 65 36 59 
10 11 1 32 14 24 5 18 
21 20 30 63 45 55 26 49 

26 39 2 15 25 56 28 40 
30 35 6 19 21 52 24 36 
86 21 62 75 35 4 32 20 
58 7 34 47 7 24 4 8 
49 16 25 38 2 33 5 17 
7 58 17 4 44 75 47 59 
48 17 24 37 3 34 6 18 
17 48 7 6 34 65 37 49 

38 29 68 65 65 7 65 42 
34 33 64 61 61 3 61 38 
22 89 8 5 5 53 5 18 
6 61 36 33 33 25 33 10 
15 52 45 42 42 16 42 19 
57 10 87 84 84 26 84 61 
16 51 46 43 43 15 43 20 
47 20 77 74 74 16 74 51 

0 10 25 44 3 35 40 44 
29 19 54 15 32 6 11 73 
38 28 63 6 41 3 2 82 
45 55 20 89 42 80 85 1 
7 17 18 51 4 42 47 37 
33 23 58 11 36 2 7 77 
16 26 9 60 13 51 56 28 
14 24 11 58 11 49 54 30 

35 17 17 15 35 45 16 48 
64 46 46 44 6 16 13 19 
73 55 55 53 3 7 22 10 
10 28 28 30 80 90 61 93 
28 10 10 8 42 52 23 55 
68 50 50 48 2 12 17 15 
19 1 1 1 51 61 32 64 
21 3 3 1 49 59 30 62 

4 5 5 38 20 30 1 24 
33 34 24 9 9 1 28 5 
42 43 33 0 18 8 37 14 
41 40 50 83 65 75 46 69 
3 2 12 45 27 37 8 31 
37 38 28 5 13 3 32 9 
12 11 21 54 36 46 17 40 
10 9 19 52 34 44 15 38 

42 23 18 31 9 40 12 24 
71 6 47 60 20 11 17 5 
80 15 56 69 29 2 26 14 
3 68 27 14 54 85 57 69 
35 30 11 24 16 47 19 31 
75 10 51 64 24 7 21 9 
26 39 2 15 25 56 28 40 
28 37 4 17 23 54 26 38 

22 45 52 49 49 9 49 26 
7 74 23 20 20 38 20 3 
16 83 14 11 11 47 11 12 
67 0 97 94 94 36 94 71 
29 38 59 56 56 2 56 33 
11 78 19 16 16 42 16 7 
38 29 68 65 65 7 65 42 
36 31 66 63 63 5 63 40 

35 17 17 15 35 45 16 48 
45 27 27 25 25 35 6 38 
10 8 8 10 60 70 41 73 
79 61 61 59 9 1 28 4 
32 14 14 12 38 48 19 51 
70 52 52 50 0 10 19 13 
75 57 57 55 5 5 24 8 
9 27 27 29 79 89 60 92 

4 5 5 38 20 30 1 24 
14 15 5 28 10 20 9 14 
21 20 30 63 45 55 26 49 
48 49 39 6 24 14 43 20 
1 2 8 41 23 33 4 27 
39 40 30 3 15 5 34 11 
44 45 35 2 20 10 39 16 
40 39 49 82 64 74 45 68 

42 23 18 31 9 40 12 24 
52 13 28 41 1 30 2 14 
17 48 7 6 34 65 37 49 
86 21 62 75 35 4 32 20 
39 26 15 28 12 43 15 27 
77 12 53 66 26 5 23 11 
82 17 58 71 31 0 28 16 
2 67 26 13 53 84 56 68 

22 45 52 49 49 9 49 26 
12 55 42 39 39 19 39 16 
47 20 77 74 74 16 74 51 
22 89 8 5 5 53 5 18 
25 42 55 52 52 6 52 29 
13 80 17 14 14 44 14 9 
18 85 12 9 9 49 9 14 
66 1 96 93 93 35 93 70 

31 30 40 73 55 65 36 59 
13 12 22 55 37 47 18 41 
13 12 22 55 37 47 18 41 
11 10 20 53 35 45 16 39 
39 40 30 3 15 5 34 11 
49 50 40 7 25 15 44 21 
20 21 11 22 4 14 15 8 
52 53 43 10 28 18 47 24 

7 58 17 4 44 75 47 59 
25 40 1 14 26 57 29 41 
25 40 1 14 26 57 29 41 
27 38 3 16 24 55 27 39 
77 12 53 66 26 5 23 11 
87 22 63 76 36 5 33 21 
58 7 34 47 7 24 4 8 
90 25 66 79 39 8 36 24 

57 10 87 84 84 26 84 61 
39 28 69 66 66 8 66 43 
39 28 69 66 66 8 66 43 
37 30 67 64 64 6 64 41 
13 80 17 14 14 44 14 9 
23 90 7 4 4 54 4 19 
6 61 36 33 33 25 33 10 
26 93 4 1 1 57 1 22 

38 27 14 27 13 44 16 28 
37 28 13 26 14 45 17 29 
47 18 23 36 4 35 7 19 
80 15 56 69 29 2 26 14 
62 3 38 51 11 20 8 4 
72 7 48 61 21 10 18 6 
43 22 19 32 8 39 11 23 
66 1 42 55 15 16 12 0 

26 41 56 53 53 5 53 30 
27 40 57 54 54 4 54 31 
17 50 47 44 44 14 44 21 
16 83 14 11 11 47 11 12 
2 65 32 29 29 29 29 6 
8 75 22 19 19 39 19 4 
21 46 51 48 48 10 48 25 
2 69 28 25 25 33 25 2 

64 3 94 91 91 33 91 68 
1 68 29 26 26 32 26 3 
40 27 70 67 67 9 67 44 
53 14 83 80 80 22 80 57 
13 54 43 40 40 18 40 17 
18 85 12 9 9 49 9 14 
10 57 40 37 37 21 37 14 
2 69 28 25 25 33 25 2 

