17 15 

62 5 98 2 87 94 90 81 7 84 41 89 78 39 25 14 72 
31 88 5 91 6 1 3 12 86 9 52 4 15 54 68 79 21 
55 2 91 5 80 87 83 74 0 77 34 82 71 32 18 7 65 
24 81 12 84 1 8 4 5 79 2 45 3 8 47 61 72 14 
27 84 9 87 2 5 1 8 82 5 48 0 11 50 64 75 17 
15 72 21 75 10 17 13 4 70 7 36 12 1 38 52 63 5 
2 55 38 58 27 34 30 21 53 24 19 29 18 21 35 46 12 
54 3 90 6 79 86 82 73 1 76 33 81 70 31 17 6 64 
14 43 50 46 39 46 42 33 41 36 7 41 30 9 23 34 24 
30 87 6 90 5 2 2 11 85 8 51 3 14 53 67 78 20 
62 5 98 2 87 94 90 81 7 84 41 89 78 39 25 14 72 
31 26 67 29 56 63 59 50 24 53 10 58 47 8 6 17 41 
11 68 25 71 14 21 17 8 66 11 32 16 5 34 48 59 1 
48 9 84 12 73 80 76 67 7 70 27 75 64 25 11 0 58 
58 1 94 2 83 90 86 77 3 80 37 85 74 35 21 10 68 
12 69 24 72 13 20 16 7 67 10 33 15 4 35 49 60 2 
1 56 37 59 26 33 29 20 54 23 20 28 17 22 36 47 11 

52 85 48 22 39 67 41 19 36 19 46 87 98 2 54 30 59 
41 8 45 71 54 26 52 74 57 74 47 6 5 91 39 63 34 
45 78 41 15 32 60 34 12 29 12 39 80 91 5 47 23 52 
34 1 38 64 47 19 45 67 50 67 40 1 12 84 32 56 27 
37 4 41 67 50 22 48 70 53 70 43 2 9 87 35 59 30 
25 8 29 55 38 10 36 58 41 58 31 10 21 75 23 47 18 
8 25 12 38 21 7 19 41 24 41 14 27 38 58 6 30 1 
44 77 40 14 31 59 33 11 28 11 38 79 90 6 46 22 51 
4 37 0 26 9 19 7 29 12 29 2 39 50 46 6 18 11 
40 7 44 70 53 25 51 73 56 73 46 5 6 90 38 62 33 
52 85 48 22 39 67 41 19 36 19 46 87 98 2 54 30 59 
21 54 17 9 8 36 10 12 5 12 15 56 67 29 23 1 28 
21 12 25 51 34 6 32 54 37 54 27 14 25 71 19 43 14 
38 71 34 8 25 53 27 5 22 5 32 73 84 12 40 16 45 
48 81 44 18 35 63 37 15 32 15 42 83 94 2 50 26 55 
22 11 26 52 35 7 33 55 38 55 28 13 24 72 20 44 15 
9 24 13 39 22 6 20 42 25 42 15 26 37 59 7 31 2 

84 13 12 80 92 11 19 51 83 84 23 73 80 90 76 24 78 
9 80 81 13 1 82 74 42 10 9 70 20 13 3 17 69 15 
77 6 5 73 85 4 12 44 76 77 16 66 73 83 69 17 71 
2 73 74 6 6 75 67 35 3 2 63 13 6 4 10 62 8 
5 76 77 9 3 78 70 38 6 5 66 16 9 1 13 65 11 
7 64 65 3 15 66 58 26 6 7 54 4 3 13 1 53 1 
24 47 48 20 32 49 41 9 23 24 37 13 20 30 16 36 18 
76 5 4 72 84 3 11 43 75 76 15 65 72 82 68 16 70 
36 35 36 32 44 37 29 3 35 36 25 25 32 42 28 24 30 
8 79 80 12 0 81 73 41 9 8 69 19 12 2 16 68 14 
84 13 12 80 92 11 19 51 83 84 23 73 80 90 76 24 78 
53 18 19 49 61 20 12 20 52 53 8 42 49 59 45 7 47 
11 60 61 7 19 62 54 22 10 11 50 0 7 17 3 49 5 
70 1 2 66 78 3 5 37 69 70 9 59 66 76 62 10 64 
80 9 8 76 88 7 15 47 79 80 19 69 76 86 72 20 74 
10 61 62 6 18 63 55 23 9 10 51 1 6 16 2 50 4 
23 48 49 19 31 50 42 10 22 23 38 12 19 29 15 37 17 

8 79 34 63 68 30 19 40 84 95 57 0 13 63 2 82 36 
85 14 59 30 25 63 74 53 9 2 36 93 80 30 91 11 57 
1 72 27 56 61 23 12 33 77 88 50 7 6 56 5 75 29 
78 7 52 23 18 56 67 46 2 9 29 86 73 23 84 4 50 
81 10 55 26 21 59 70 49 5 6 32 89 76 26 87 7 53 
69 2 43 14 9 47 58 37 7 18 20 77 64 14 75 5 41 
52 19 26 3 8 30 41 20 24 35 3 60 47 3 58 22 24 
0 71 26 55 60 22 11 32 76 87 49 8 5 55 6 74 28 
40 31 14 15 20 18 29 8 36 47 9 48 35 15 46 34 12 
84 13 58 29 24 62 73 52 8 3 35 92 79 29 90 10 56 
8 79 34 63 68 30 19 40 84 95 57 0 13 63 2 82 36 
23 48 3 32 37 1 12 9 53 64 26 31 18 32 29 51 5 
65 6 39 10 5 43 54 33 11 22 16 73 60 10 71 9 37 
6 65 20 49 54 16 5 26 70 81 43 14 1 49 12 68 22 
4 75 30 59 64 26 15 36 80 91 53 4 9 59 2 78 32 
66 5 40 11 6 44 55 34 10 21 17 74 61 11 72 8 38 
53 18 27 2 7 31 42 21 23 34 4 61 48 2 59 21 25 

73 6 38 76 89 96 85 46 61 8 54 86 2 93 26 58 54 
20 87 55 17 4 3 8 47 32 85 39 7 91 0 67 35 39 
66 1 31 69 82 89 78 39 54 1 47 79 5 86 19 51 47 
13 80 48 10 3 10 1 40 25 78 32 0 84 7 60 28 32 
16 83 51 13 0 7 4 43 28 81 35 3 87 4 63 31 35 
4 71 39 1 12 19 8 31 16 69 23 9 75 16 51 19 23 
13 54 22 16 29 36 25 14 1 52 6 26 58 33 34 2 6 
65 2 30 68 81 88 77 38 53 0 46 78 6 85 18 50 46 
25 42 10 28 41 48 37 2 13 40 6 38 46 45 22 10 6 
