14 12 

17 25 9 3 32 2 56 32 62 6 60 5 12 14 
22 20 4 2 37 7 51 27 57 1 55 10 7 9 
51 9 25 31 66 36 22 2 28 28 26 39 22 20 
51 9 25 31 66 36 22 2 28 28 26 39 22 20 
25 17 1 5 40 10 48 24 54 2 52 13 4 6 
75 33 49 55 90 60 2 26 4 52 2 63 46 44 
5 37 21 15 20 10 68 44 74 18 72 7 24 26 
77 35 51 57 92 62 4 28 2 54 0 65 48 46 
72 30 46 52 87 57 1 23 7 49 5 60 43 41 
52 10 26 32 67 37 21 3 27 29 25 40 23 21 
16 26 10 4 31 1 57 33 63 7 61 4 13 15 
73 31 47 53 88 58 0 24 6 50 4 61 44 42 
21 21 5 1 36 6 52 28 58 2 56 9 8 10 
2 40 24 18 17 13 71 47 77 21 75 10 27 29 

9 15 24 11 25 59 1 26 2 22 14 20 22 17 
14 10 19 6 30 54 4 31 7 27 19 25 27 22 
43 19 10 23 59 25 33 60 36 56 48 54 56 51 
43 19 10 23 59 25 33 60 36 56 48 54 56 51 
17 7 16 3 33 51 7 34 10 30 22 28 30 25 
67 43 34 47 83 1 57 84 60 80 72 78 80 75 
3 27 36 23 13 71 13 14 10 10 2 8 10 5 
69 45 36 49 85 1 59 86 62 82 74 80 82 77 
64 40 31 44 80 4 54 81 57 77 69 75 77 72 
44 20 11 24 60 24 34 61 37 57 49 55 57 52 
8 16 25 12 24 60 2 25 1 21 13 19 21 16 
65 41 32 45 81 3 55 82 58 78 70 76 78 73 
13 11 20 7 29 55 3 30 6 26 18 24 26 21 
6 30 39 26 10 74 16 11 13 7 1 5 7 2 

62 40 2 31 43 39 14 56 4 25 63 4 26 11 
57 35 3 36 38 34 19 51 1 30 58 1 31 6 
28 6 32 65 9 5 48 22 30 59 29 30 60 23 
28 6 32 65 9 5 48 22 30 59 29 30 60 23 
54 32 6 39 35 31 22 48 4 33 55 4 34 3 
4 18 56 89 15 19 72 2 54 83 5 54 84 47 
