6 20 

57 63 19 50 7 57 
42 48 4 35 22 42 
90 96 52 83 26 90 
64 70 26 57 0 64 
34 40 4 27 30 34 
29 35 9 22 35 29 

52 24 44 1 36 22 
37 9 29 14 21 7 
85 57 77 34 69 55 
59 31 51 8 43 29 
29 1 21 22 13 1 
24 4 16 27 8 6 

27 40 12 31 22 2 
42 25 27 46 7 17 
6 73 21 2 55 31 
20 47 5 24 29 5 
50 17 35 54 1 25 
55 12 40 59 6 30 

17 37 7 47 59 4 
32 22 8 32 44 19 
16 70 40 80 92 29 
10 44 14 54 66 3 
40 14 16 24 36 27 
45 9 21 19 31 32 

6 6 42 10 23 19 
9 9 27 5 38 34 
39 39 75 43 10 14 
13 13 49 17 16 12 
17 17 19 13 46 42 
22 22 14 18 51 47 

30 2 15 5 13 0 
15 13 30 10 28 15 
63 35 18 38 20 33 
37 9 8 12 6 7 
7 21 38 18 36 23 
2 26 43 23 41 28 

56 30 4 63 61 58 
41 45 11 48 46 43 
89 3 37 96 94 91 
63 23 11 70 68 65 
33 53 19 40 38 35 
28 58 24 35 33 30 

25 57 65 22 9 27 
40 42 50 37 6 42 
8 90 98 11 42 6 
18 64 72 15 16 20 
48 34 42 45 14 50 
53 29 37 50 19 55 

66 28 21 1 31 36 
51 13 36 16 16 21 
99 61 12 32 64 69 
73 35 14 6 38 43 
43 5 44 24 8 13 
38 0 49 29 3 8 

44 64 52 23 23 66 
29 49 37 8 38 51 
77 97 85 56 10 99 
51 71 59 30 16 73 
21 41 29 0 46 43 
16 36 24 5 51 38 

29 23 53 64 60 20 
44 38 38 49 45 5 
4 10 86 97 93 53 
22 16 60 71 67 27 
52 46 30 41 37 3 
57 51 25 36 32 8 

56 1 30 24 5 25 
41 14 15 39 10 40 
89 34 63 9 38 8 
63 8 37 17 12 18 
33 22 7 47 18 48 
28 27 2 52 23 53 

50 29 52 1 31 22 
35 44 37 16 16 7 
83 4 85 32 64 55 
57 22 59 6 38 29 
27 52 29 24 8 1 
22 57 24 29 3 6 

28 20 31 64 26 11 
43 5 16 49 11 4 
5 53 64 97 59 44 
21 27 38 71 33 18 
51 3 8 41 3 12 
56 8 3 36 2 17 

2 26 28 20 48 37 
17 41 13 35 33 22 
31 7 61 13 81 70 
5 19 35 13 55 44 
25 49 5 43 25 14 
30 54 0 48 20 9 

14 26 50 62 15 46 
1 41 35 47 0 31 
47 7 83 95 48 79 
21 19 57 69 22 53 
9 49 27 39 8 23 
14 54 22 34 13 18 

49 43 65 32 17 37 
34 28 50 47 2 22 
82 76 98 1 50 70 
56 50 72 25 24 44 
26 20 42 55 6 14 
21 15 37 60 11 9 

27 65 8 45 44 6 
12 50 23 30 29 9 
60 98 25 78 77 39 
34 72 1 52 51 13 
4 42 31 22 21 17 
