16 14 

73 31 93 81 3 62 4 19 19 7 77 10 4 54 
92 1 62 17 50 42 17 1 8 93 36 96 77 72 
58 97 33 52 75 46 74 56 34 51 77 96 63 44 
24 39 46 81 82 28 99 39 18 33 79 22 92 80 
62 84 60 79 95 61 31 83 45 72 20 59 54 97 
92 32 30 53 57 23 43 71 40 56 71 45 53 21 
17 38 98 38 56 29 4 81 96 32 47 9 65 33 
85 32 1 11 16 11 97 97 16 44 30 45 54 16 
67 86 39 52 12 50 86 19 94 77 2 63 50 86 
29 72 62 48 71 22 69 89 71 0 70 23 17 27 
38 30 39 5 4 80 1 5 26 93 45 27 33 48 
69 2 52 69 64 5 86 13 94 51 8 62 1 16 
45 24 85 6 90 43 28 20 16 35 3 95 53 66 
75 16 55 45 55 38 80 42 83 31 82 60 60 82 
65 58 99 55 56 93 3 21 20 57 72 28 21 93 
32 12 7 77 49 5 34 39 26 45 87 30 44 69 
