19 18 

50 72 31 37 28 85 70 27 61 97 0 45 96 86 13 29 71 79 
59 95 91 65 8 7 97 76 67 36 58 54 48 93 40 52 71 53 
3 62 45 80 39 63 67 94 23 1 63 74 41 36 26 28 88 2 
46 51 83 37 89 59 30 80 39 9 69 43 41 48 0 12 79 67 
3 70 14 32 83 71 26 40 89 6 21 25 56 25 23 89 67 75 
94 13 85 81 98 24 83 62 13 99 49 61 69 51 64 28 50 53 
95 9 24 38 18 4 6 24 93 43 91 5 78 19 80 98 87 11 
85 68 65 44 47 61 70 67 23 85 93 34 84 55 73 92 18 41 
19 36 3 74 98 49 77 8 77 56 36 55 48 61 44 23 22 19 
76 58 29 51 66 49 27 74 49 52 45 88 72 24 35 23 21 79 
19 79 19 35 65 90 19 80 37 41 74 96 36 43 36 78 20 99 
62 60 15 60 77 14 78 11 26 15 67 65 84 50 84 56 35 44 
1 87 54 30 36 8 6 0 32 83 41 82 35 0 48 94 4 91 
10 37 82 63 98 98 84 81 63 22 56 16 91 58 27 5 10 92 
74 37 3 25 77 98 81 8 75 16 49 32 64 70 23 83 65 18 
66 94 29 6 0 47 11 78 53 1 39 48 11 76 22 8 60 39 
52 56 83 20 62 0 12 41 58 70 62 42 61 93 20 45 96 74 
4 56 56 31 34 61 95 90 51 85 25 78 86 89 31 97 5 17 
30 78 94 18 36 30 32 70 8 71 0 5 56 39 24 4 75 74 
