11 8 

25 58 3 66 19 31 10 33 17 6 20 
1 32 23 40 45 5 16 7 43 20 6 
34 67 12 75 10 40 19 42 8 15 29 
1 34 21 42 43 7 14 9 41 18 4 
15 18 37 26 59 9 30 7 57 34 20 
27 60 5 68 17 33 12 35 15 8 22 
6 27 28 35 50 0 21 2 48 25 11 
43 10 65 2 87 37 58 35 85 62 48 
14 19 36 27 58 8 29 6 56 33 19 
8 25 30 33 52 2 23 0 50 27 13 
26 7 48 15 70 20 41 18 68 45 31 

39 53 7 11 49 18 72 17 11 70 55 
13 27 33 15 23 8 46 9 15 44 29 
48 62 2 20 58 27 81 26 20 79 64 
15 29 31 13 25 6 48 7 13 46 31 
1 13 47 29 9 22 32 23 29 30 15 
41 55 5 13 51 20 74 19 13 72 57 
8 22 38 20 18 13 41 14 20 39 24 
29 15 75 57 19 50 4 51 57 2 13 
0 14 46 28 10 21 33 22 28 31 16 
6 20 40 22 16 15 39 16 22 37 22 
12 2 58 40 2 33 21 34 40 19 4 

18 3 21 41 42 4 3 22 5 2 53 
44 23 47 15 16 22 23 48 31 24 27 
9 12 12 50 51 13 12 13 4 11 62 
42 21 45 17 18 20 21 46 29 22 29 
58 37 61 1 2 36 37 62 45 38 13 
16 5 19 43 44 6 5 20 3 4 55 
49 28 52 10 11 27 28 53 36 29 22 
86 65 89 27 26 64 65 90 73 66 15 
57 36 60 2 3 35 36 61 44 37 14 
51 30 54 8 9 29 30 55 38 31 20 
69 48 72 10 9 47 48 73 56 49 2 

8 50 8 18 12 55 3 16 1 51 32 
34 24 18 44 14 29 29 42 27 25 6 
1 59 17 9 21 64 6 7 8 60 41 
32 26 16 42 12 31 27 40 25 27 8 
48 10 32 58 28 15 43 56 41 11 8 
6 52 10 16 14 57 1 14 1 53 34 
39 19 23 49 19 24 34 47 32 20 1 
76 18 60 86 56 13 71 84 69 17 36 
47 11 31 57 27 16 42 55 40 12 7 
41 17 25 51 21 22 36 49 34 18 1 
59 1 43 69 39 4 54 67 52 0 19 

5 16 28 44 5 45 16 36 0 1 22 
21 42 2 18 21 19 42 10 26 27 4 
14 7 37 53 14 54 7 45 9 8 31 
19 40 4 20 19 21 40 12 24 25 2 
35 56 12 4 35 5 56 4 40 41 18 
7 14 30 46 7 47 14 38 2 1 24 
26 47 3 13 26 14 47 5 31 32 9 
63 84 40 24 63 23 84 32 68 69 46 
34 55 11 5 34 6 55 3 39 40 17 
