3 8 

15 28 17 
12 31 14 
20 23 22 

53 9 30 
56 6 27 
48 14 35 

26 19 13 
23 22 10 
31 14 18 

59 10 49 
62 13 52 
54 5 44 

43 26 65 
46 23 68 
38 31 60 

60 66 42 
63 69 45 
55 61 37 

62 14 40 
65 11 43 
57 19 35 

68 6 15 
25 37 58 
70 8 13 

11 34 2 
54 9 41 
9 36 4 

74 25 64 
31 18 21 
76 27 66 

58 11 80 
15 54 37 
60 9 82 

75 81 57 
32 38 14 
77 83 59 

77 1 55 
34 42 12 
79 3 57 

79 34 66 
17 28 4 
4 49 17 

6 43 4 
68 19 58 
89 40 79 

10 79 12 
52 17 74 
73 4 95 

7 13 11 
69 75 51 
90 96 72 

9 67 13 
71 5 49 
92 16 70 

85 36 75 
40 9 30 
72 23 62 

69 0 91 
24 45 46 
56 13 78 

86 92 68 
41 47 23 
73 79 55 

88 12 66 
43 33 21 
75 1 53 

16 85 6 
33 36 55 
6 75 16 

1 7 17 
50 56 32 
11 17 7 

3 73 19 
52 24 30 
13 63 9 

17 23 1 
86 92 68 
5 1 23 

19 57 3 
88 12 66 
3 79 25 

2 74 20 
4 80 26 
20 56 2 

