10 4 

11 27 29 63 42 76 12 32 11 5 
58 20 18 16 5 29 35 15 36 52 
18 20 22 56 35 69 5 25 4 12 
82 44 42 8 29 5 59 39 60 76 
1 39 41 75 54 88 24 44 23 7 
66 28 26 8 13 21 43 23 44 60 
5 33 35 69 48 82 18 38 17 1 
17 21 23 57 36 70 6 26 5 11 
9 47 49 83 62 96 32 52 31 15 
83 45 43 9 30 4 60 40 61 77 

74 27 12 1 4 2 28 35 13 19 
27 20 59 46 43 49 19 12 60 28 
67 20 19 6 3 9 21 28 20 12 
3 44 83 70 67 73 43 36 84 52 
86 39 0 13 16 10 40 47 1 31 
19 28 67 54 51 57 27 20 68 36 
80 33 6 7 10 4 34 41 7 25 
68 21 18 5 2 8 22 29 19 13 
94 47 8 21 24 18 48 55 7 39 
2 45 84 71 68 74 44 37 85 53 

77 34 10 16 39 35 66 25 8 61 
30 13 57 63 8 12 19 22 39 14 
70 27 17 23 32 28 59 18 1 54 
6 37 81 87 32 36 5 46 63 10 
89 46 2 4 51 47 78 37 20 73 
22 21 65 71 16 20 11 30 47 6 
83 40 4 10 45 41 72 31 14 67 
71 28 16 22 33 29 60 19 2 55 
97 54 10 4 59 55 86 45 28 81 
5 38 82 88 33 37 6 47 64 11 

85 38 1 12 15 9 39 46 2 30 
47 0 39 26 23 29 1 8 40 8 
45 2 41 28 25 31 1 6 42 10 
11 36 75 62 59 65 35 28 76 44 
32 15 54 41 38 44 14 7 55 23 
2 49 88 75 72 78 48 41 89 57 
62 15 24 11 8 14 16 23 25 7 
42 5 44 31 28 34 4 3 45 13 
63 16 23 10 7 13 17 24 24 8 
79 32 7 6 9 3 33 40 8 24 

88 45 1 5 50 46 77 36 19 72 
50 7 37 43 12 8 39 2 19 34 
48 5 39 45 10 6 37 4 21 32 
14 29 73 79 24 28 3 38 55 2 
35 8 52 58 3 7 24 17 34 19 
1 42 86 92 37 41 10 51 68 15 
65 22 22 28 27 23 54 13 4 49 
45 2 42 48 7 3 34 7 24 29 
66 23 21 27 28 24 55 14 3 50 
82 39 5 11 44 40 71 30 13 66 

3 40 84 90 35 39 8 49 66 13 
50 7 37 43 12 8 39 2 19 34 
89 46 2 4 51 47 78 37 20 73 
76 33 11 17 38 34 65 24 7 60 
73 30 14 20 35 31 62 21 4 57 
79 36 8 14 41 37 68 27 10 63 
49 6 38 44 11 7 38 3 20 33 
42 1 45 51 4 0 31 10 27 26 
90 47 3 3 52 48 79 38 21 74 
58 15 29 35 20 16 47 6 11 42 

