15 4 

72 25 86 50 2 3 4 84 57 46 92 3 8 53 30 
20 27 34 2 50 55 56 32 5 6 40 55 44 1 22 
44 3 58 22 26 31 32 56 29 18 64 31 20 25 2 
59 12 73 37 11 16 17 71 44 33 79 16 5 40 17 
63 16 77 41 7 12 13 75 48 37 83 12 1 44 21 
4 51 10 26 74 79 80 8 19 30 16 79 68 23 46 
75 28 89 53 5 0 1 87 60 49 95 0 11 56 33 
32 15 46 10 38 43 44 44 17 6 52 43 32 13 10 
17 64 3 39 87 92 93 5 32 43 3 92 81 36 59 
35 12 49 13 35 40 41 47 20 9 55 40 29 16 7 
51 4 65 29 19 24 25 63 36 25 71 24 13 32 9 
12 59 2 34 82 87 88 0 27 38 8 87 76 31 54 
25 22 39 3 45 50 51 37 10 1 45 50 39 6 17 
24 23 38 2 46 51 52 36 9 2 44 51 40 5 18 
77 30 91 55 7 2 1 89 62 51 97 2 13 58 35 

6 9 4 5 27 25 93 74 88 94 1 14 16 8 57 
46 43 48 47 25 27 41 22 36 42 53 38 36 44 5 
22 19 24 23 1 3 65 46 60 66 29 14 12 20 29 
7 4 9 8 14 12 80 61 75 81 14 1 3 5 44 
3 0 5 4 18 16 84 65 79 85 10 5 7 1 48 
70 67 72 71 49 51 17 2 12 18 77 62 60 68 19 
9 12 7 8 30 28 96 77 91 97 2 17 19 11 60 
34 31 36 35 13 15 53 34 48 54 41 26 24 32 17 
83 80 85 84 62 64 4 15 1 5 90 75 73 81 32 
31 28 33 32 10 12 56 37 51 57 38 23 21 29 20 
15 12 17 16 6 4 72 53 67 73 22 7 5 13 36 
78 75 80 79 57 59 9 10 4 10 85 70 68 76 27 
41 38 43 42 20 22 46 27 41 47 48 33 31 39 10 
42 39 44 43 21 23 45 26 40 46 49 34 32 40 9 
11 14 9 10 32 30 98 79 93 99 4 19 21 13 62 

59 66 9 4 51 89 18 58 54 82 9 31 15 3 7 
7 14 43 56 1 37 34 6 2 30 43 21 37 49 45 
31 38 19 32 23 61 10 30 26 54 19 3 13 25 21 
46 53 4 17 38 76 5 45 41 69 4 18 2 10 6 
50 57 0 13 42 80 9 49 45 73 0 22 6 6 2 
17 10 67 80 25 13 58 18 22 6 67 45 61 73 69 
62 69 12 1 54 92 21 61 57 85 12 34 18 6 10 
19 26 31 44 11 49 22 18 14 42 31 9 25 37 33 
30 23 80 93 38 0 71 31 35 7 80 58 74 86 82 
22 29 28 41 14 52 19 21 17 45 28 6 22 34 30 
38 45 12 25 30 68 3 37 33 61 12 10 6 18 14 
25 18 75 88 33 5 66 26 30 2 75 53 69 81 77 
12 19 38 51 4 42 29 11 7 35 38 16 32 44 40 
11 18 39 52 3 41 30 10 6 34 39 17 33 45 41 
64 71 14 1 56 94 23 63 59 87 14 36 20 8 12 

66 63 68 67 45 47 21 2 16 22 73 58 56 64 15 
19 16 21 20 2 0 68 49 63 69 26 11 9 17 32 
80 77 82 81 59 61 7 12 2 8 87 72 70 78 29 
44 41 46 45 23 25 43 24 38 44 51 36 34 42 7 
4 7 2 3 25 23 91 72 86 92 3 12 14 6 55 
9 12 7 8 30 28 96 77 91 97 2 17 19 11 60 
10 13 8 9 31 29 97 78 92 98 3 18 20 12 61 
78 75 80 79 57 59 9 10 4 10 85 70 68 76 27 
51 48 53 52 30 32 36 17 31 37 58 43 41 49 0 
40 37 42 41 19 21 47 28 42 48 47 32 30 38 11 
86 83 88 87 65 67 1 18 4 2 93 78 76 84 35 
9 12 7 8 30 28 96 77 91 97 2 17 19 11 60 
2 1 4 3 19 17 85 66 80 86 9 6 8 0 49 
47 44 49 48 26 28 40 21 35 41 54 39 37 45 4 
24 21 26 25 3 5 63 44 58 64 31 16 14 22 27 

13 6 63 76 21 17 54 14 18 10 63 41 57 69 65 
34 41 16 29 26 64 7 33 29 57 16 6 10 22 18 
27 20 77 90 35 3 68 28 32 4 77 55 71 83 79 
9 16 41 54 1 39 32 8 4 32 41 19 35 47 43 
57 64 7 6 49 87 16 56 52 80 7 29 13 1 5 
62 69 12 1 54 92 21 61 57 85 12 34 18 6 10 
63 70 13 0 55 93 22 62 58 86 13 35 19 7 11 
25 18 75 88 33 5 66 26 30 2 75 53 69 81 77 
2 9 48 61 6 32 39 1 3 25 48 26 42 54 50 
13 20 37 50 5 43 28 12 8 36 37 15 31 43 39 
33 26 83 96 41 3 74 34 38 10 83 61 77 89 85 
62 69 12 1 54 92 21 61 57 85 12 34 18 6 10 
51 58 1 12 43 81 10 50 46 74 1 23 7 5 1 
6 13 44 57 2 36 35 5 1 29 44 22 38 50 46 
29 36 21 34 21 59 12 28 24 52 21 1 15 27 23 

