9 5 

12 12 17 49 36 11 29 39 56 
30 30 1 67 18 29 47 21 74 
10 10 19 47 38 9 27 41 54 
31 31 60 6 79 32 14 82 13 
10 10 19 47 38 9 27 41 54 
35 35 6 72 13 34 52 16 79 
20 20 9 57 28 19 37 31 64 
44 44 73 7 92 45 27 95 0 
5 5 34 32 53 6 12 56 39 

41 28 10 38 14 39 7 39 10 
23 46 28 56 32 57 25 21 8 
43 26 8 36 12 37 5 41 12 
84 15 33 5 29 4 36 82 53 
43 26 8 36 12 37 5 41 12 
18 51 33 61 37 62 30 16 13 
33 36 18 46 22 47 15 31 2 
97 28 46 18 42 17 49 95 66 
58 11 7 21 3 22 10 56 27 

20 39 28 6 25 25 46 36 19 
2 57 46 24 7 43 64 18 1 
22 37 26 4 27 23 44 38 21 
63 4 15 37 68 18 3 79 62 
22 37 26 4 27 23 44 38 21 
3 62 51 29 2 48 69 13 4 
12 47 36 14 17 33 54 28 11 
76 17 28 50 81 31 10 92 75 
37 22 11 11 42 8 29 53 36 

25 16 7 3 25 1 36 28 30 
7 2 25 15 7 17 54 46 12 
27 18 5 5 27 3 34 26 32 
68 59 36 46 68 44 7 15 73 
27 18 5 5 27 3 34 26 32 
2 7 30 20 2 22 59 51 7 
17 8 15 5 17 7 44 36 22 
81 72 49 59 81 57 20 28 86 
42 33 10 20 42 18 19 11 47 

53 16 2 26 2 27 5 51 22 
53 16 2 26 2 27 5 51 22 
24 45 27 55 31 56 24 22 7 
90 21 39 11 35 10 42 88 59 
5 64 46 74 50 75 43 3 26 
52 17 1 27 3 28 4 50 21 
70 1 19 9 15 10 22 68 39 
2 67 49 77 53 78 46 0 29 
97 28 46 18 42 17 49 95 66 

32 27 16 6 37 13 34 48 31 
32 27 16 6 37 13 34 48 31 
3 56 45 23 8 42 63 19 2 
69 10 21 43 74 24 3 85 68 
16 75 64 42 11 61 82 0 17 
31 28 17 5 36 14 35 47 30 
49 10 1 23 54 4 17 65 48 
19 78 67 45 14 64 85 3 20 
76 17 28 50 81 31 10 92 75 

37 28 5 15 37 13 24 16 42 
37 28 5 15 37 13 24 16 42 
8 1 24 14 8 16 53 45 13 
74 65 42 52 74 50 13 21 79 
11 20 43 33 11 35 72 64 6 
36 27 4 14 36 12 25 17 41 
54 45 22 32 54 30 7 1 59 
14 23 46 36 14 38 75 67 9 
81 72 49 59 81 57 20 28 86 

21 80 69 47 16 66 87 5 22 
48 11 0 22 53 3 18 64 47 
30 29 18 4 35 15 36 46 29 
58 1 10 32 63 13 8 74 57 
34 25 14 8 39 11 32 50 33 
59 0 11 33 64 14 7 75 58 
27 32 21 1 32 18 39 43 26 
19 78 67 45 14 64 85 3 20 
10 49 38 16 15 35 56 26 9 

16 25 48 38 16 40 77 69 11 
53 44 21 31 53 29 8 0 58 
35 26 3 13 35 11 26 18 40 
63 54 31 41 63 39 2 10 68 
39 30 7 17 39 15 22 14 44 
64 55 32 42 64 40 3 11 69 
32 23 0 10 32 8 29 21 37 
14 23 46 36 14 38 75 67 9 
15 6 17 7 15 9 46 38 20 

5 4 27 17 5 19 56 48 10 
64 55 32 42 64 40 3 11 69 
53 44 21 31 53 29 8 0 58 
31 22 1 9 31 7 30 22 36 
0 9 32 22 0 24 61 53 5 
50 41 18 28 50 26 11 3 55 
71 62 39 49 71 47 10 18 76 
11 20 43 33 11 35 72 64 6 
6 3 26 16 6 18 55 47 11 

