7 4 

22 16 13 21 53 50 10 
5 11 14 6 26 23 17 
4 10 13 5 27 24 16 
6 12 15 7 25 22 18 
42 48 51 43 11 14 54 
9 15 18 10 22 19 21 
26 20 17 25 57 54 14 

12 1 18 14 86 67 13 
15 26 9 13 59 40 14 
14 25 8 12 60 41 13 
16 27 10 14 58 39 15 
52 63 46 50 22 3 51 
19 30 13 17 55 36 18 
16 5 22 18 90 71 17 

88 0 58 2 23 15 76 
61 27 31 29 4 12 49 
62 26 32 28 3 11 50 
60 28 30 30 5 13 48 
24 64 6 66 41 49 12 
57 31 27 33 8 16 45 
92 4 62 2 27 19 80 

10 21 4 8 64 45 9 
4 15 2 2 70 51 3 
1 12 5 1 73 54 0 
9 20 3 7 65 46 8 
41 52 35 39 33 14 40 
38 49 32 36 36 17 37 
2 9 8 4 76 57 3 

66 22 36 24 1 7 54 
72 16 42 18 7 1 60 
75 13 45 15 10 2 63 
67 21 37 23 2 6 55 
35 53 5 55 30 38 23 
38 50 8 52 27 35 26 
78 10 48 12 13 5 66 

76 12 46 14 11 3 64 
87 1 57 3 22 14 75 
70 18 40 20 5 3 58 
74 14 44 16 9 1 62 
2 86 28 88 63 71 10 
21 67 9 69 44 52 9 
75 13 45 15 10 2 63 

