14 10 

66 36 77 43 43 18 6 26 30 65 16 59 73 41 
8 38 3 31 31 56 68 48 44 9 58 15 1 33 
30 60 19 53 53 78 90 70 66 31 80 37 23 55 
5 25 16 18 18 43 55 35 31 4 45 2 12 20 
6 24 17 17 17 42 54 34 30 5 44 1 13 19 
33 3 44 10 10 15 27 7 3 32 17 26 40 8 
18 48 7 41 41 66 78 58 54 19 68 25 11 43 
46 16 57 23 23 2 14 6 10 45 4 39 53 21 
41 11 52 18 18 7 19 1 5 40 9 34 48 16 
19 11 30 4 4 29 41 21 17 18 31 12 26 6 
3 27 14 20 20 45 57 37 33 2 47 4 10 22 
58 28 69 35 35 10 2 18 22 57 8 51 65 33 
15 15 26 8 8 33 45 25 21 14 35 8 22 10 
50 20 61 27 27 2 10 10 14 49 0 43 57 25 

52 70 19 71 49 45 32 27 10 64 68 39 19 34 
22 4 55 3 25 29 42 47 64 10 6 35 55 40 
44 26 77 25 47 51 64 69 86 32 28 57 77 62 
9 9 42 10 12 16 29 34 51 3 7 22 42 27 
8 10 41 11 11 15 28 33 50 4 8 21 41 26 
19 37 14 38 16 12 1 6 23 31 35 6 14 1 
32 14 65 13 35 39 52 57 74 20 16 45 65 50 
32 50 1 51 29 25 12 7 10 44 48 19 1 14 
27 45 6 46 24 20 7 2 15 39 43 14 6 9 
5 23 28 24 2 2 15 20 37 17 21 8 28 13 
11 7 44 8 14 18 31 36 53 1 5 24 44 29 
44 62 11 63 41 37 24 19 2 56 60 31 11 26 
1 19 32 20 2 6 19 24 41 13 17 12 32 17 
36 54 3 55 33 29 16 11 6 48 52 23 3 18 

76 23 67 50 21 80 68 22 35 48 28 28 87 45 
2 51 7 24 53 6 6 52 39 26 46 46 13 29 
20 73 29 46 75 16 28 74 61 48 68 68 9 51 
15 38 6 11 40 19 7 39 26 13 33 33 26 16 
16 37 7 10 39 20 8 38 25 12 32 32 27 15 
43 10 34 17 12 47 35 11 2 15 5 5 54 12 
8 61 17 34 63 4 16 62 49 36 56 56 3 39 
56 3 47 30 1 60 48 2 15 28 8 8 67 25 
51 2 42 25 4 55 43 3 10 23 3 3 62 20 
29 24 20 3 26 33 21 25 12 1 19 19 40 2 
13 40 4 13 42 17 5 41 28 15 35 35 24 18 
68 15 59 42 13 72 60 14 27 40 20 20 79 37 
25 28 16 1 30 29 17 29 16 3 23 23 36 6 
60 7 51 34 5 64 52 6 19 32 12 12 71 29 

7 70 63 13 12 50 87 10 25 98 56 47 6 0 
67 4 11 61 62 24 13 64 49 24 18 27 68 74 
89 26 33 83 84 46 9 86 71 2 40 49 90 96 
54 9 2 48 49 11 26 51 36 37 5 14 55 61 
53 10 3 47 48 10 27 50 35 38 4 13 54 60 
26 37 30 20 21 17 54 23 8 65 23 14 27 33 
77 14 21 71 72 34 3 74 59 14 28 37 78 84 
13 50 43 7 8 30 67 10 5 78 36 27 14 20 
18 45 38 12 13 25 62 15 0 73 31 22 19 25 
40 23 16 34 35 3 40 37 22 51 9 0 41 47 
56 7 0 50 51 13 24 53 38 35 7 16 57 63 
1 62 55 5 4 42 79 2 17 90 48 39 2 8 
44 19 12 38 39 1 36 41 26 47 5 4 45 51 
9 54 47 3 4 34 71 6 9 82 40 31 10 16 

68 91 1 37 60 82 39 6 1 39 87 32 56 22 
