14 12 

23 7 45 23 82 63 77 65 48 47 13 80 
40 42 16 20 85 69 90 5 62 46 25 76 
56 36 98 22 65 52 65 97 49 81 48 74 
71 76 9 80 15 93 38 47 99 28 92 69 
83 10 19 51 38 86 88 95 60 55 67 22 
43 82 32 66 97 4 92 93 24 27 52 36 
83 61 2 21 98 85 47 85 62 59 80 94 
16 80 8 97 11 3 43 95 97 43 58 70 
5 8 56 99 28 25 4 99 55 21 49 93 
81 25 71 88 33 98 1 12 18 76 13 40 
55 21 52 88 95 50 26 25 37 90 40 38 
87 69 12 84 97 2 96 18 3 96 33 16 
2 42 83 63 37 89 71 39 67 5 40 37 
29 17 21 61 14 95 21 39 37 34 54 33 
