16 14 

4 6 27 41 85 21 37 58 97 2 71 10 70 20 
35 10 73 79 82 68 5 49 78 10 94 63 45 2 
92 23 35 42 55 69 73 8 64 99 40 75 50 60 
15 45 51 55 48 20 30 73 76 78 30 83 72 47 
97 63 0 51 97 94 33 44 61 0 49 92 52 19 
48 93 3 2 58 91 61 45 18 89 33 66 47 2 
6 43 51 70 99 49 12 45 19 66 94 81 93 76 
34 36 79 60 43 71 42 67 93 17 87 96 46 60 
45 92 85 95 77 33 43 21 60 18 40 66 69 33 
73 41 65 60 80 44 61 7 29 74 59 15 1 93 
33 86 0 58 86 5 89 67 70 2 25 61 55 42 
43 40 83 14 91 2 1 85 4 78 63 27 13 49 
38 32 51 15 67 74 18 17 13 14 54 36 81 54 
61 28 93 67 24 75 99 94 45 35 37 63 74 53 
38 27 16 80 21 45 26 91 9 17 46 15 85 79 
7 44 41 47 89 0 33 70 14 14 7 55 29 51 
