17 10 

81 68 93 99 26 40 71 5 55 38 
86 10 73 5 2 47 3 51 17 79 
71 39 22 91 30 42 58 40 97 10 
87 16 10 39 62 40 1 63 31 88 
6 76 87 24 15 32 78 71 16 66 
33 1 9 38 35 56 20 92 88 19 
41 90 17 64 89 3 48 66 51 44 
25 9 64 88 94 81 55 60 23 4 
55 55 48 36 36 99 78 45 68 50 
13 30 88 80 25 69 66 24 47 26 
90 47 86 7 75 23 52 10 56 76 
15 38 53 32 20 81 6 49 0 1 
8 45 53 49 95 96 94 35 28 68 
68 35 60 57 82 90 40 93 8 11 
23 95 95 71 63 82 14 63 42 8 
32 18 33 97 85 66 24 79 94 53 
72 49 79 39 4 62 7 15 55 73 
