3 7 

3 5 33 
2 4 32 
31 29 1 

66 2 82 
65 1 81 
32 32 48 

43 19 89 
42 18 88 
9 15 55 

51 53 6 
50 52 5 
17 19 28 

43 38 94 
42 37 93 
9 4 60 

49 38 83 
48 37 82 
15 4 49 

63 1 79 
61 3 77 
33 31 49 

40 16 86 
38 14 84 
10 14 56 

48 50 3 
46 48 1 
18 20 27 

40 35 91 
38 33 89 
10 5 61 

46 35 80 
44 33 78 
16 5 50 

23 47 23 
41 17 87 
39 63 7 

15 13 60 
49 51 4 
31 29 76 

23 28 28 
41 36 92 
39 44 12 

17 28 17 
47 36 81 
33 44 1 

8 10 37 
32 34 13 
38 36 83 

0 5 51 
24 19 75 
46 51 5 

6 5 40 
30 19 64 
40 51 6 

8 13 43 
10 15 41 
37 32 88 

2 13 32 
4 15 30 
43 32 77 

6 5 40 
11 0 45 
45 56 11 

